PerformanceID,EmployeeID,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating
PR103,C5C2-985F,2013-04-14,3,2,5,3,1,5,4,4
PR1030,B6EC-313E,2016-04-03,5,4,5,2,1,4,5,5
PR1031,0D8F-C0F3,2016-04-05,4,2,4,2,2,3,5,5
PR1032,1799-5B3F,2016-04-05,5,5,5,3,0,4,3,2
PR1033,3B11-DF28,2016-04-05,5,3,5,3,1,2,4,4
PR1034,076F-8AA3,2016-04-06,3,2,3,3,2,4,4,3
PR1035,95D7-1CE9,2016-04-08,3,3,2,1,0,2,3,2
PR1036,B013-7D0C,2016-04-09,3,5,3,2,0,2,5,5
PR1037,531D-788E,2016-04-09,3,3,5,2,1,2,4,4
PR1038,AEDB-BB62,2016-04-10,4,4,2,3,1,2,4,3
PR1039,F430-0404,2016-04-10,4,5,4,2,1,2,3,2
PR104,CDFB-6A08,2013-04-14,3,4,4,3,1,5,3,2
PR1040,7BD4-7BFB,2016-04-10,5,4,2,2,0,2,5,4
PR1041,152E-8DB1,2016-04-11,5,3,2,1,1,4,3,3
PR1042,1A7C-19DB,2016-04-11,4,5,3,3,0,5,5,4
PR1043,489B-14EC,2016-04-11,5,2,2,2,2,4,3,2
PR1044,52CC-3E9E,2016-04-12,3,3,4,1,1,3,3,2
PR1045,A531-8159,2016-04-12,3,3,4,1,2,5,4,4
PR1046,C5C2-985F,2016-04-13,4,4,4,1,3,3,4,3
PR1047,CDFB-6A08,2016-04-13,5,5,5,1,3,2,5,5
PR1048,5C03-1009,2016-04-13,3,2,5,1,2,5,5,4
PR1049,E899-A860,2016-04-13,5,5,3,1,0,3,3,3
PR105,EE91-1A9C,2013-04-15,3,5,2,3,0,3,4,3
PR1050,EE91-1A9C,2016-04-14,4,5,2,1,0,2,4,4
PR1051,7CFC-C4DA,2016-04-14,3,4,4,3,1,4,3,3
PR1052,CF2F-8CA3,2016-04-14,5,2,4,3,0,4,3,2
PR1053,7A98-768E,2016-04-16,3,5,3,3,1,4,5,5
PR1054,C3C0-349E,2016-04-16,3,2,2,1,1,2,3,2
PR1055,96F4-896C,2016-04-16,5,5,5,3,2,3,3,2
PR1056,B52E-BF41,2016-04-16,5,4,4,3,0,5,5,4
PR1057,5D69-D350,2016-04-17,5,4,3,2,2,4,5,4
PR1058,4BE1-4A7B,2016-04-17,5,3,3,3,1,4,5,4
PR1059,AB81-A3A0,2016-04-18,4,3,2,1,1,3,5,5
PR106,5D69-D350,2013-04-18,3,4,5,3,3,5,5,5
PR1060,FD3F-5255,2016-04-19,5,3,2,2,3,2,3,3
PR1061,C661-6A1C,2016-04-20,5,2,4,3,0,4,5,5
PR1062,C025-B8B6,2016-04-20,4,5,2,1,0,2,4,3
PR1063,9528-AA17,2016-04-21,3,5,2,2,1,2,5,5
PR1064,4188-C61D,2016-04-22,4,5,4,3,0,3,4,3
PR1065,DFE3-6FA7,2016-04-22,3,5,5,3,0,2,3,2
PR1066,7335-4656,2016-04-22,4,5,4,2,0,2,3,2
PR1067,49B2-0364,2016-04-23,4,2,2,3,1,2,3,3
PR1068,51A4-EA6E,2016-04-24,4,5,2,2,1,3,4,4
PR1069,A4A4-F49C,2016-04-24,4,4,2,1,0,4,3,2
PR107,C661-6A1C,2013-04-21,5,4,5,2,0,4,3,3
PR1070,BAF9-933D,2016-04-24,5,5,2,2,1,4,5,5
PR1071,1147-7E2F,2016-04-25,4,5,2,1,2,4,3,2
PR1072,4E65-CCD0,2016-04-26,4,2,2,2,0,4,5,4
PR1073,1AC8-361F,2016-04-28,5,5,4,2,2,5,5,4
PR1074,D93A-CC98,2016-04-28,3,5,3,1,0,4,3,2
PR1075,C79A-E5E1,2016-04-29,4,2,2,1,0,4,5,4
PR1076,A1B4-5481,2016-04-30,5,3,3,1,0,3,4,3
PR1077,D49C-096C,2016-04-30,5,5,2,1,1,3,5,4
PR1078,2F04-931F,2016-04-30,3,2,4,3,2,5,3,3
PR1079,380E-44B4,2016-04-30,3,2,3,2,1,3,5,4
PR108,4188-C61D,2013-04-23,5,2,5,3,1,5,5,5
PR1080,327B-F6D3,2016-05-01,5,2,5,3,1,3,3,2
PR1081,B148-55FB,2016-05-01,3,5,4,1,3,5,5,4
PR1082,EB4F-4D97,2016-05-01,5,5,3,1,2,3,4,4
PR1083,1472-9F69,2016-05-02,4,4,4,1,0,5,5,4
PR1084,59DB-8465,2016-05-02,5,5,4,2,0,4,3,2
PR1085,D31B-BEF8,2016-05-03,5,2,3,3,0,2,3,2
PR1086,565B-C207,2016-05-03,4,3,5,3,2,4,3,3
PR1087,13E5-2F17,2016-05-04,3,2,3,3,0,3,3,3
PR1088,ADF8-AD57,2016-05-04,4,5,2,2,2,5,4,3
PR1089,FE2B-3DC7,2016-05-05,4,5,2,3,0,3,4,3
PR109,DFE3-6FA7,2013-04-23,3,4,4,3,1,2,4,4
PR1090,F3D0-41D1,2016-05-05,1,4,3,3,1,1,3,2
PR1091,11AE-3E4D,2016-05-05,3,4,4,1,2,1,5,5
PR1092,2CA8-4E1B,2016-05-06,2,1,1,3,0,3,3,3
PR1093,08E4-D3D5,2016-05-06,1,4,2,1,2,3,3,2
PR1094,D2BE-E6F6,2016-05-06,4,2,2,2,2,1,3,3
PR1095,9BD6-2C43,2016-05-06,4,2,4,1,1,2,4,4
PR1096,E8B6-8BAE,2016-05-07,1,4,2,1,1,4,5,5
PR1097,291F-B604,2016-05-08,3,4,4,2,0,3,5,5
PR1098,692B-7152,2016-05-08,1,1,1,1,3,3,4,4
PR1099,4657-FE18,2016-05-09,2,4,1,1,2,2,4,4
PR11,9937-CDF7,2013-01-11,5,5,2,2,0,2,5,5
PR110,D24B-5AC8,2013-04-23,4,3,4,3,1,4,4,4
PR1100,8EBD-B3E8,2016-05-09,3,4,3,2,1,3,4,3
PR1101,E28D-424B,2016-05-10,3,2,2,2,2,4,5,4
PR1102,7B47-C915,2016-05-10,3,3,2,2,2,5,5,4
PR1103,A848-F98B,2016-05-11,3,4,2,1,0,5,3,2
PR1104,1C87-44CB,2016-05-12,3,2,4,1,0,5,3,3
PR1105,41FE-D257,2016-05-12,5,5,5,1,0,4,5,4
PR1106,A690-3D5D,2016-05-12,3,2,5,2,0,4,3,2
PR1107,42CC-040A,2016-05-13,4,3,2,1,0,5,3,2
PR1108,C9FF-3A25,2016-05-13,5,3,5,2,2,5,5,5
PR1109,BE93-0736,2016-05-13,4,3,5,1,0,2,5,4
PR111,EE12-1C73,2013-04-23,3,4,5,3,0,4,3,3
PR1110,1F0F-458C,2016-05-14,5,4,5,3,0,3,4,4
PR1111,DE6C-86FC,2016-05-15,5,3,3,1,2,3,4,4
PR1112,FFCF-0BD5,2016-05-15,4,3,2,3,2,5,3,2
PR1113,0A05-3943,2016-05-16,4,2,2,2,0,2,5,5
PR1114,9F65-F612,2016-05-16,3,3,5,3,0,5,3,3
PR1115,64D6-0D5F,2016-05-16,3,2,5,3,1,4,4,4
PR1116,9D3C-DA45,2016-05-17,4,3,5,3,1,2,5,5
PR1117,2523-EFD4,2016-05-18,3,2,2,2,1,4,4,4
PR1118,4D59-B831,2016-05-19,4,3,3,3,1,3,5,5
PR1119,5060-A677,2016-05-19,5,4,3,3,3,4,5,5
PR112,BAF9-933D,2013-04-25,5,2,4,3,0,5,5,4
PR1120,A2D0-E2D2,2016-05-19,3,4,4,1,1,4,4,3
PR1121,BE54-8537,2016-05-19,3,3,2,1,2,4,4,3
PR1122,9169-FC4B,2016-05-20,4,4,3,1,0,3,5,5
PR1123,00B0-F199,2016-05-21,3,3,5,3,2,5,5,4
PR1124,1705-0DE5,2016-05-22,5,4,4,2,2,5,3,2
PR1125,8766-F1E7,2016-05-23,4,3,2,1,2,3,4,4
PR1126,45F9-3A37,2016-05-23,4,5,2,1,0,3,5,4
PR1127,BD1B-53A3,2016-05-23,5,4,2,1,1,5,4,3
PR1128,81BE-17CD,2016-05-23,5,2,2,2,1,3,4,3
PR1129,06DE-E772,2016-05-24,4,3,3,1,2,2,4,3
PR113,1147-7E2F,2013-04-26,3,3,2,1,2,2,3,2
PR1130,0F83-39C1,2016-05-24,4,3,3,2,1,5,4,3
PR1131,ED49-73D3,2016-05-24,3,5,2,1,0,4,5,4
PR1132,D91C-815B,2016-05-26,3,3,5,3,0,2,3,3
PR1133,29C2-1A3F,2016-05-26,5,4,3,2,0,3,5,5
PR1134,462E-03DF,2016-05-26,4,2,2,2,1,2,3,3
PR1135,2F98-E645,2016-05-27,3,4,5,2,0,4,4,3
PR1136,F469-0427,2016-05-27,3,2,5,1,2,5,4,4
PR1137,CACA-0D62,2016-05-28,5,3,3,3,1,3,5,5
PR1138,C08F-94F9,2016-05-29,5,5,2,1,0,3,4,4
PR1139,DEBE-1622,2016-05-29,3,2,3,1,0,4,5,4
PR114,4E65-CCD0,2013-04-27,4,5,3,1,0,3,3,2
PR1140,6965-C170,2016-05-29,5,2,2,3,0,2,4,3
PR1141,7349-CCE0,2016-05-29,3,2,4,1,1,2,5,5
PR1142,6313-8E62,2016-05-31,3,3,4,2,1,3,4,4
PR1143,F662-DEA5,2016-05-31,5,2,5,2,3,5,4,3
PR1144,B3AF-7E58,2016-06-01,4,5,3,1,1,5,4,4
PR1145,64BA-99F0,2016-06-01,3,2,5,2,0,3,5,5
PR1146,8663-3E02,2016-06-01,3,4,2,3,2,5,4,3
PR1147,F523-1135,2016-06-01,3,3,3,3,3,2,4,4
PR1148,0C7B-2EA6,2016-06-03,5,2,4,1,2,4,5,4
PR1149,06E8-4FD4,2016-06-04,3,2,3,1,1,4,3,3
PR115,7EEF-9A90,2013-04-27,5,2,5,2,1,4,4,4
PR1150,9D7B-9B37,2016-06-05,3,3,4,2,0,4,4,4
PR1151,DDBF-9C79,2016-06-06,5,5,4,1,0,5,5,4
PR1152,6CAD-47F0,2016-06-06,4,3,2,1,1,3,3,3
PR1153,CD4D-7BBA,2016-06-06,4,5,3,3,2,4,3,2
PR1154,B785-D8F8,2016-06-09,3,3,3,1,1,4,3,3
PR1155,D584-4E31,2016-06-09,5,5,4,2,1,5,3,2
PR1156,8A40-C85A,2016-06-10,4,5,2,2,0,5,5,4
PR1157,3F0C-41A7,2016-06-12,5,2,3,2,2,5,5,5
PR1158,DFDC-286C,2016-06-13,5,5,2,3,3,4,5,5
PR1159,3E42-57C8,2016-06-14,3,5,5,3,0,4,5,5
PR116,1AC8-361F,2013-04-29,3,3,5,1,2,4,5,4
PR1160,E9B9-3944,2016-06-14,5,5,4,1,0,3,4,3
PR1161,A91B-7DC5,2016-06-14,3,5,3,1,1,4,5,4
PR1162,AB5F-244C,2016-06-16,4,4,3,1,2,5,3,3
PR1163,1E61-70EC,2016-06-17,3,2,3,2,1,2,3,2
PR1164,549F-B3E7,2016-06-17,4,5,4,1,2,3,4,3
PR1165,00A3-2445,2016-06-19,4,5,4,2,2,5,4,3
PR1166,F4D2-F6F2,2016-06-19,4,4,5,3,0,5,3,3
PR1167,BDC5-51CF,2016-06-21,3,2,4,1,0,3,3,3
PR1168,5468-EEE1,2016-06-21,4,3,5,1,2,4,5,4
PR1169,2E72-4BF1,2016-06-22,4,4,3,1,2,5,4,4
PR117,D93A-CC98,2013-04-29,4,5,3,1,0,5,5,4
PR1170,3EB2-9111,2016-06-23,5,3,3,3,1,4,4,4
PR1171,8822-B9C5,2016-06-23,4,4,3,1,1,5,3,2
PR1172,9AAD-D3C1,2016-06-24,4,2,5,3,0,4,3,3
PR1173,4CCA-B1E6,2016-06-26,3,3,4,1,0,5,5,4
PR1174,E8F5-C47D,2016-06-26,3,2,3,3,1,2,4,3
PR1175,8026-658D,2016-06-26,3,4,3,1,2,4,4,4
PR1176,450D-13A9,2016-06-26,5,5,5,2,1,2,3,3
PR1177,C0C7-A3EF,2016-06-28,4,5,5,2,0,3,4,4
PR1178,C385-CDBE,2016-06-28,5,5,4,3,0,3,5,5
PR1179,2B7A-9C73,2016-06-29,4,4,3,1,1,4,3,3
PR118,C79A-E5E1,2013-04-30,3,2,2,1,1,5,4,3
PR1180,4C88-27A1,2016-07-01,5,4,2,3,1,4,5,4
PR1181,5731-90E6,2016-07-01,3,4,2,1,1,5,4,4
PR1182,FBC2-C5FA,2016-07-01,4,4,3,3,0,4,5,5
PR1183,9723-FED9,2016-07-01,3,4,5,3,0,5,3,3
PR1184,F9B6-C80B,2016-07-03,4,3,5,1,0,2,5,5
PR1185,2F85-AF81,2016-07-05,4,2,4,3,0,4,3,3
PR1186,427A-8C69,2016-07-06,3,2,2,3,2,5,5,4
PR1187,8B79-18F1,2016-07-08,5,3,5,3,1,3,4,4
PR1188,AF58-5D1B,2016-07-08,4,3,3,2,2,2,3,3
PR1189,0FC8-561B,2016-07-09,3,2,2,1,2,4,3,3
PR119,A1B4-5481,2013-05-01,5,2,2,1,0,4,3,2
PR1190,7B98-EA6F,2016-07-09,5,3,2,3,1,5,3,2
PR1191,9A87-71F6,2016-07-09,3,2,5,3,1,4,5,4
PR1192,E268-61EB,2016-07-10,3,2,3,3,1,3,3,2
PR1193,132B-F2B2,2016-07-10,5,5,3,3,0,3,3,2
PR1194,A2B5-823F,2016-07-10,3,5,3,3,1,4,4,4
PR1195,6345-2F33,2016-07-11,4,3,5,1,1,3,4,4
PR1196,8583-9174,2016-07-13,5,2,3,2,0,2,5,5
PR1197,E324-1C33,2016-07-15,5,4,4,3,1,5,4,3
PR1198,246E-3383,2016-07-15,3,3,4,1,1,2,3,3
PR1199,D906-B674,2016-07-17,3,3,3,2,1,3,5,4
PR12,CD59-7F94,2013-01-11,5,2,3,2,0,3,3,2
PR120,D49C-096C,2013-05-01,3,4,2,3,1,2,3,2
PR1200,D8FC-E2F7,2016-07-18,5,3,4,2,0,2,3,3
PR1201,F0C3-4859,2016-07-18,5,2,2,2,2,5,5,4
PR1202,F4A3-2126,2016-07-18,5,4,3,3,1,3,4,4
PR1203,F83C-CA1D,2016-07-19,3,4,3,1,1,5,5,4
PR1204,C0BE-FED0,2016-07-19,3,2,4,1,0,3,4,3
PR1205,307F-9BFA,2016-07-19,4,5,2,1,0,3,5,4
PR1206,AA87-13D8,2016-07-20,5,4,4,2,1,5,4,4
PR1207,4316-C080,2016-07-22,3,4,2,2,0,5,5,5
PR1208,9DB2-76B3,2016-07-25,5,3,2,1,1,4,5,4
PR1209,D565-284D,2016-07-25,3,2,4,2,1,3,3,2
PR121,327B-F6D3,2013-05-02,3,5,5,2,0,2,5,5
PR1210,7AA0-5766,2016-07-27,4,4,2,3,3,3,5,5
PR1211,F3A3-10CE,2016-07-28,3,2,2,1,0,3,3,3
PR1212,D69C-8F84,2016-07-28,3,4,4,2,3,5,5,4
PR1213,CBCB-9C9D,2016-07-30,3,3,2,2,0,5,4,4
PR1214,1217-CE30,2016-07-30,3,2,5,1,1,5,4,4
PR1215,27CD-A6BF,2016-07-31,4,5,5,3,2,4,5,5
PR1216,7A8C-2DD3,2016-08-01,5,2,3,1,1,5,4,4
PR1217,66BC-7AC0,2016-08-04,5,5,4,1,1,5,4,3
PR1218,55D6-1423,2016-08-04,4,3,3,3,0,4,3,3
PR1219,ED73-F078,2016-08-04,4,4,3,3,3,5,3,3
PR122,EB4F-4D97,2013-05-02,4,5,4,1,3,2,5,4
PR1220,67D7-9785,2016-08-06,3,2,5,2,1,4,5,4
PR1221,BFE7-5EA8,2016-08-06,4,2,3,2,1,5,3,3
PR1222,5839-7AE2,2016-08-07,3,4,4,1,1,3,4,4
PR1223,5B0E-31FB,2016-08-09,3,4,5,1,1,3,5,5
PR1224,2B08-7D3D,2016-08-10,5,4,4,1,1,4,3,2
PR1225,9825-45EF,2016-08-12,4,3,5,3,0,4,5,4
PR1226,F546-D965,2016-08-12,5,4,5,2,3,2,3,2
PR1227,040C-EDED,2016-08-13,3,5,2,2,1,2,4,3
PR1228,46ED-4007,2016-08-13,5,5,2,1,0,2,3,3
PR1229,9811-F345,2016-08-13,3,2,5,1,2,3,5,5
PR123,1472-9F69,2013-05-03,5,4,4,3,0,4,5,5
PR1230,AFA8-5058,2016-08-14,3,3,2,3,1,5,3,3
PR1231,6112-8476,2016-08-15,5,2,4,3,1,5,5,5
PR1232,D13E-E661,2016-08-15,5,2,5,2,0,5,4,4
PR1233,2A89-93B6,2016-08-16,4,3,4,1,0,5,5,4
PR1234,37EE-004B,2016-08-17,3,5,4,2,0,3,3,2
PR1235,52DD-757F,2016-08-17,5,3,5,2,1,4,3,2
PR1236,B76C-D9CE,2016-08-18,4,5,4,3,0,3,4,4
PR1237,DF11-9C46,2016-08-18,5,5,4,3,1,3,4,3
PR1238,F877-3BF9,2016-08-21,5,5,4,1,1,2,4,4
PR1239,2962-039F,2016-08-21,3,2,2,1,0,2,4,4
PR124,D31B-BEF8,2013-05-04,4,5,4,3,0,4,5,4
PR1240,60B5-48ED,2016-08-21,4,3,3,2,0,3,3,3
PR1241,16FB-8835,2016-08-23,4,2,4,3,3,5,5,4
PR1242,D186-CBF5,2016-08-25,4,4,2,3,3,4,3,2
PR1243,5605-237E,2016-08-25,4,5,5,1,0,4,4,4
PR1244,4FD5-CC71,2016-08-27,3,5,5,3,1,4,3,3
PR1245,134B-4157,2016-09-01,3,5,4,3,0,3,4,3
PR1246,2DD1-FD7F,2016-09-02,3,5,3,2,3,5,4,4
PR1247,C730-6B13,2016-09-02,3,2,3,3,1,2,4,3
PR1248,D6A7-EF72,2016-09-03,3,5,3,2,2,2,3,3
PR1249,39A2-9B0A,2016-09-04,4,2,5,3,0,3,5,5
PR125,13E5-2F17,2013-05-05,5,4,5,1,0,4,4,4
PR1250,B09D-DFEC,2016-09-06,5,5,3,3,1,4,5,4
PR1251,D014-7DB2,2016-09-08,4,4,5,2,1,3,4,3
PR1252,C973-E8E5,2016-09-09,5,2,2,1,3,3,5,5
PR1253,1D35-190A,2016-09-11,5,5,4,1,0,2,5,4
PR1254,4404-DE5A,2016-09-12,3,5,5,1,3,2,5,4
PR1255,6135-885F,2016-09-14,5,5,2,2,3,2,3,2
PR1256,3F19-FC5A,2016-09-16,4,5,5,2,0,2,3,3
PR1257,A71E-A9DC,2016-09-16,3,3,5,3,3,3,3,2
PR1258,2FC8-999D,2016-09-20,5,2,5,1,1,2,3,3
PR1259,3476-CA56,2016-09-21,5,4,2,3,0,3,5,4
PR126,ADF8-AD57,2013-05-05,5,4,3,3,0,4,3,3
PR1260,07F5-A45D,2016-09-22,4,4,4,2,0,5,3,3
PR1261,E7D3-03C9,2016-09-24,5,2,5,2,1,4,5,4
PR1262,7F61-2397,2016-09-26,4,5,2,2,1,4,5,4
PR1263,EB81-3E51,2016-09-26,4,5,4,2,1,4,3,3
PR1264,469A-8121,2016-09-27,4,2,4,1,0,4,3,2
PR1265,1CB3-F7D7,2016-09-28,4,5,3,2,0,2,4,4
PR1266,9085-1FE8,2016-09-28,3,4,4,2,1,3,5,5
PR1267,F890-975A,2016-09-28,4,4,4,2,1,5,4,4
PR1268,B990-35DA,2016-09-29,5,4,5,2,2,3,5,5
PR1269,130F-32AB,2016-10-01,4,3,5,2,2,4,4,3
PR127,FE2B-3DC7,2013-05-06,5,2,5,2,2,5,3,3
PR1270,B34E-95FF,2016-10-01,3,5,3,3,1,5,4,3
PR1271,87D2-8B67,2016-10-01,4,5,2,1,3,3,3,3
PR1272,2C7D-F9F1,2016-10-01,4,4,4,2,1,4,5,4
PR1273,277A-A6FA,2016-10-03,3,2,2,1,2,2,5,5
PR1274,825E-0B3A,2016-10-04,3,4,2,2,2,2,3,3
PR1275,022A-0219,2016-10-08,3,5,3,2,2,5,4,3
PR1276,817D-28CE,2016-10-09,5,5,3,1,1,4,5,5
PR1277,EC6A-DD76,2016-10-09,5,4,3,3,1,4,3,3
PR1278,8365-EB74,2016-10-09,4,5,4,2,2,4,3,3
PR1279,FAC0-942B,2016-10-14,5,2,5,2,2,3,5,4
PR128,2CA8-4E1B,2013-05-07,3,3,2,1,1,2,4,3
PR1280,45FF-ACE6,2016-10-17,4,4,5,2,1,2,5,4
PR1281,AA19-95BD,2016-10-17,3,3,2,1,1,3,3,2
PR1282,7269-88EC,2016-10-18,5,3,4,1,0,2,4,3
PR1283,465A-91D1,2016-10-19,3,2,5,3,0,3,5,5
PR1284,6F3E-2A75,2016-10-20,4,4,2,1,2,3,5,5
PR1285,CD0F-DE05,2016-10-20,5,2,2,3,1,5,3,2
PR1286,21CB-EF3E,2016-10-22,5,4,3,2,2,5,3,2
PR1287,2E9A-BD2E,2016-10-25,3,5,2,1,1,5,3,2
PR1288,7378-5351,2016-10-25,3,2,2,3,3,2,3,2
PR1289,CEE0-94C3,2016-10-25,5,5,4,1,0,2,4,4
PR129,9BD6-2C43,2013-05-07,3,4,2,2,1,3,3,2
PR1290,9C7D-E1B1,2016-10-26,4,4,2,3,0,3,5,4
PR1291,D199-1896,2016-10-26,3,5,5,1,0,4,4,3
PR1292,7F91-C628,2016-10-26,3,5,3,2,2,3,4,4
PR1293,8C57-8F84,2016-10-28,3,4,4,1,2,2,5,4
PR1294,9E22-6287,2016-10-29,3,4,2,1,0,3,3,3
PR1295,3012-1A41,2016-10-30,3,3,2,3,0,4,3,3
PR1296,6280-B47F,2016-10-31,3,3,3,2,1,3,4,4
PR1297,0868-097F,2016-10-31,4,5,5,2,1,4,4,4
PR1298,7B9D-8612,2016-10-31,3,5,4,3,1,5,4,3
PR1299,C1C6-F683,2016-11-01,3,3,2,2,2,4,4,4
PR13,7839-CA12,2013-01-12,5,3,5,3,2,4,4,3
PR130,291F-B604,2013-05-09,3,5,2,3,2,4,3,2
PR1300,EBBD-37D4,2016-11-02,3,3,3,1,2,5,4,4
PR1301,7FA1-BC64,2016-11-03,4,3,3,3,1,3,5,5
PR1302,DD78-E811,2016-11-04,4,4,3,3,0,3,3,2
PR1303,EC6E-7F42,2016-11-05,5,2,4,2,2,2,5,4
PR1304,1363-6BF9,2016-11-06,5,2,4,3,0,5,3,3
PR1305,1C24-233B,2016-11-06,4,2,2,2,1,3,5,5
PR1306,67ED-A630,2016-11-06,5,3,3,1,1,4,3,2
PR1307,FD95-9EEB,2016-11-07,5,2,4,1,1,4,4,3
PR1308,4C62-5BE8,2016-11-07,5,3,4,2,2,2,5,5
PR1309,AFDF-3DA8,2016-11-08,4,3,2,2,0,3,3,3
PR131,C560-23D6,2013-05-09,5,3,2,2,2,2,3,3
PR1310,BFF3-AADC,2016-11-09,3,5,4,1,2,3,3,2
PR1311,AB4A-E71A,2016-11-09,3,3,3,2,0,2,4,3
PR1312,4FC2-A40D,2016-11-10,4,2,2,1,3,2,3,2
PR1313,7A2A-0600,2016-11-10,4,3,2,2,1,4,3,3
PR1314,3E4A-F28F,2016-11-11,4,5,3,3,2,2,4,4
PR1315,F578-F0C8,2016-11-11,4,4,5,3,2,3,4,3
PR1316,2A04-49D1,2016-11-11,4,3,3,2,0,4,5,4
PR1317,9728-1A5B,2016-11-14,4,3,3,2,2,5,3,3
PR1318,C395-8C36,2016-11-17,4,2,5,3,0,2,3,3
PR1319,FB5B-C127,2016-11-17,5,4,3,3,1,4,5,4
PR132,AB61-2A7E,2013-05-09,4,2,3,3,1,5,4,3
PR1320,C25C-C434,2016-11-18,3,3,2,1,0,2,5,5
PR1321,4DA0-81D7,2016-11-18,5,4,4,2,0,2,5,5
PR1322,0145-DBFC,2016-11-19,3,4,3,2,0,2,3,2
PR1323,085C-7FC2,2016-11-20,4,5,2,2,3,4,3,2
PR1324,7FFD-C810,2016-11-21,5,3,5,2,1,3,5,4
PR1325,C219-6C2E,2016-11-22,4,4,2,3,1,5,4,4
PR1326,1749-81A2,2016-11-23,3,4,5,3,0,3,4,4
PR1327,5B11-3DB3,2016-11-25,4,4,3,2,1,2,5,4
PR1328,6A2B-42DB,2016-11-25,4,5,5,3,0,3,4,4
PR1329,F838-C681,2016-11-25,3,4,3,3,1,2,4,4
PR133,4657-FE18,2013-05-10,3,4,5,1,0,3,4,3
PR1330,3994-472A,2016-11-26,4,4,4,2,0,3,3,2
PR1331,12B5-11CC,2016-11-27,4,5,3,1,0,5,4,4
PR1332,4969-9A35,2016-11-28,3,3,3,2,2,2,4,3
PR1333,2BEA-43B2,2016-11-28,5,3,4,2,2,3,4,4
PR1334,C54B-DBC5,2016-11-29,3,2,2,1,2,3,5,5
PR1335,9FE1-0345,2016-12-01,4,4,3,1,0,3,5,4
PR1336,F265-79B0,2016-12-01,5,5,3,1,0,3,3,3
